geography,date,total
British Columbia (12),2008-04-01T00:00:00Z,102.2
British Columbia (12),2009-04-01T00:00:00Z,93.3
British Columbia (12),2010-04-01T00:00:00Z,97.8
British Columbia (12),2011-04-01T00:00:00Z,96.9
British Columbia (12),2012-04-01T00:00:00Z,96
British Columbia (12),2013-04-01T00:00:00Z,95.3
British Columbia (12),2014-04-01T00:00:00Z,93.9
British Columbia (12),2015-04-01T00:00:00Z,94.2
British Columbia (12),2016-04-01T00:00:00Z,97.7
British Columbia (12),2017-04-01T00:00:00Z,101.5
British Columbia (12),2008-08-01T00:00:00Z,101.8
British Columbia (12),2009-08-01T00:00:00Z,93.6
British Columbia (12),2010-08-01T00:00:00Z,97.2
British Columbia (12),2011-08-01T00:00:00Z,96.7
British Columbia (12),2012-08-01T00:00:00Z,96
British Columbia (12),2013-08-01T00:00:00Z,94.8
British Columbia (12),2014-08-01T00:00:00Z,93.7
British Columbia (12),2015-08-01T00:00:00Z,94.7
British Columbia (12),2016-08-01T00:00:00Z,99.7
British Columbia (12),2017-08-01T00:00:00Z,106.6
British Columbia (12),2007-12-01T00:00:00Z,101.4
British Columbia (12),2008-12-01T00:00:00Z,99
British Columbia (12),2009-12-01T00:00:00Z,96.1
British Columbia (12),2010-12-01T00:00:00Z,96.5
British Columbia (12),2011-12-01T00:00:00Z,96.1
British Columbia (12),2012-12-01T00:00:00Z,95.4
British Columbia (12),2013-12-01T00:00:00Z,94.3
British Columbia (12),2014-12-01T00:00:00Z,93.8
British Columbia (12),2015-12-01T00:00:00Z,95.9
British Columbia (12),2016-12-01T00:00:00Z,100
British Columbia (12),2008-02-01T00:00:00Z,101.6
British Columbia (12),2009-02-01T00:00:00Z,95.4
British Columbia (12),2010-02-01T00:00:00Z,97
British Columbia (12),2011-02-01T00:00:00Z,96.6
British Columbia (12),2012-02-01T00:00:00Z,96.2
British Columbia (12),2013-02-01T00:00:00Z,95.4
British Columbia (12),2014-02-01T00:00:00Z,94.3
British Columbia (12),2015-02-01T00:00:00Z,93.6
British Columbia (12),2016-02-01T00:00:00Z,97.1
British Columbia (12),2017-02-01T00:00:00Z,100
British Columbia (12),2008-01-01T00:00:00Z,101.5
British Columbia (12),2009-01-01T00:00:00Z,98.1
British Columbia (12),2010-01-01T00:00:00Z,96.5
British Columbia (12),2011-01-01T00:00:00Z,96.6
British Columbia (12),2012-01-01T00:00:00Z,96.3
British Columbia (12),2013-01-01T00:00:00Z,95.3
British Columbia (12),2014-01-01T00:00:00Z,94.3
British Columbia (12),2015-01-01T00:00:00Z,93.6
British Columbia (12),2016-01-01T00:00:00Z,96.3
British Columbia (12),2017-01-01T00:00:00Z,99.9
British Columbia (12),2008-07-01T00:00:00Z,101.9
British Columbia (12),2009-07-01T00:00:00Z,93.4
British Columbia (12),2010-07-01T00:00:00Z,97.2
British Columbia (12),2011-07-01T00:00:00Z,97.1
British Columbia (12),2012-07-01T00:00:00Z,96.1
British Columbia (12),2013-07-01T00:00:00Z,95.1
British Columbia (12),2014-07-01T00:00:00Z,93.5
British Columbia (12),2015-07-01T00:00:00Z,94.7
British Columbia (12),2016-07-01T00:00:00Z,99.7
British Columbia (12),2017-07-01T00:00:00Z,106.5
British Columbia (12),2008-06-01T00:00:00Z,101.9
British Columbia (12),2009-06-01T00:00:00Z,92.8
British Columbia (12),2010-06-01T00:00:00Z,97.9
British Columbia (12),2011-06-01T00:00:00Z,97.1
British Columbia (12),2012-06-01T00:00:00Z,96.1
British Columbia (12),2013-06-01T00:00:00Z,94.9
British Columbia (12),2014-06-01T00:00:00Z,93.6
British Columbia (12),2015-06-01T00:00:00Z,94.4
British Columbia (12),2016-06-01T00:00:00Z,99.2
British Columbia (12),2017-06-01T00:00:00Z,104.7
British Columbia (12),2008-03-01T00:00:00Z,102.2
British Columbia (12),2009-03-01T00:00:00Z,94.3
British Columbia (12),2010-03-01T00:00:00Z,97.5
British Columbia (12),2011-03-01T00:00:00Z,96.8
British Columbia (12),2012-03-01T00:00:00Z,96
British Columbia (12),2013-03-01T00:00:00Z,95.2
British Columbia (12),2014-03-01T00:00:00Z,94.2
British Columbia (12),2015-03-01T00:00:00Z,93.6
British Columbia (12),2016-03-01T00:00:00Z,97.4
