"Table 327-0056 New housing price index, monthly (index, 201612=100)(1,2,3)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Survey or program details:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Housing Price Index - 2310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geography,New housing price indexes,Sep-07,Oct-07,Nov-07,Dec-07,Jan-08,Feb-08,Mar-08,Apr-08,May-08,Jun-08,Jul-08,Aug-08,Sep-08,Oct-08,Nov-08,Dec-08,Jan-09,Feb-09,Mar-09,Apr-09,May-09,Jun-09,Jul-09,Aug-09,Sep-09,Oct-09,Nov-09,Dec-09,Jan-10,Feb-10,Mar-10,Apr-10,May-10,Jun-10,Jul-10,Aug-10,Sep-10,Oct-10,Nov-10,Dec-10,Jan-11,Feb-11,Mar-11,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17
Canada,Total (house and land),86.5,86.6,87,87.1,87.6,87.9,88.1,88.1,88.1,88.2,88.2,88.2,88.3,87.9,87.7,87.5,87,86.4,86,85.5,85.4,85.2,85.4,85.5,85.9,86.1,86.4,86.7,87.1,87.1,87.4,87.6,87.9,88,87.9,88,88.1,88.2,88.4,88.4,88.6,89,89,89.2,89.6,89.8,89.9,90,90.1,90.3,90.6,90.7,90.8,91,91.3,91.5,91.7,91.9,92,92.1,92.3,92.5,92.6,92.7,92.8,93,93,93.2,93.4,93.5,93.6,93.7,93.8,93.8,93.9,93.9,94.1,94.4,94.5,94.7,94.8,94.9,94.9,95.2,95.3,95.4,95.5,95.5,95.5,95.6,95.7,95.7,95.9,96.1,96.2,96.5,96.6,96.8,96.9,97,97.1,97.3,97.5,97.7,98.5,98.6,99,99.1,99.3,99.7,99.9,100,100.1,100.5,100.7,101.5,102.2,102.4,102.8,102.9,103.1
Canada,House only,85.1,85.1,85.5,85.6,86.1,86.3,86.4,86.3,86.2,86.3,86.3,86.3,86.3,85.6,85.2,85,84.5,83.8,83.3,82.7,82.6,82.5,82.8,82.9,83.5,83.8,84.2,84.7,85.2,85.3,85.8,86,86.4,86.6,86.5,86.6,86.6,86.6,86.8,86.7,87,87.3,87.4,87.8,88.2,88.5,88.5,88.6,88.8,89,89.3,89.3,89.4,89.6,89.9,90.2,90.4,90.7,90.7,90.9,91.1,91.4,91.5,91.7,91.8,91.9,92,92.2,92.4,92.5,92.7,92.8,92.8,92.9,92.9,93,93.3,93.6,93.7,94,94.1,94.3,94.3,94.5,94.6,94.7,94.8,94.9,94.8,95,95,95.1,95.1,95.3,95.5,95.8,95.9,96.2,96.4,96.5,96.7,97,97.2,97.6,98.5,98.5,99,99.3,99.3,99.8,99.9,100,99.9,100.2,100.4,101.2,101.7,102.1,102.7,102.8,102.9
Canada,Land only,90,90.3,90.7,90.9,91.4,91.8,92.2,92.4,92.5,92.7,92.8,92.9,93.1,93.4,93.5,93.4,92.9,92.3,91.9,91.8,91.5,91.3,91.3,91.3,91.3,91.2,91.4,91.3,91.4,91.2,90.9,91,91.2,91.2,91,91,91.5,91.5,91.8,92,92.1,92.4,92.3,92.4,92.7,92.8,92.9,93,93,93.2,93.4,93.6,93.8,93.9,94.1,94.2,94.4,94.6,94.6,94.6,94.8,94.8,94.8,94.9,95,95.2,95.2,95.3,95.4,95.5,95.6,95.7,95.7,95.7,95.8,95.8,95.9,96,96.1,96.2,96.3,96.4,96.4,96.6,96.6,96.7,96.8,96.8,96.9,97,97,97,97.6,97.9,97.9,98,98,98.1,98.1,98.1,98.1,98.1,98.1,98.1,98.5,98.6,98.7,98.7,99,99.5,100,100,100.4,100.9,101.3,102.3,103.1,103.1,103.3,103.3,103.6
Atlantic Region,Total (house and land),80.4,80.7,81.8,82.1,82.9,83.6,84,84.9,86.1,87.1,88.3,88.6,88.5,88.7,89.9,90.1,90.6,90.8,90.9,91,91.1,91.2,91.2,91.6,91.7,91.7,92,92.3,92.9,92.9,92.9,93.3,93.5,93.9,93.9,93.9,93.9,93.9,95.9,96,96,96.1,96.1,96.1,96,96,96.2,96.2,96.4,96.4,96.4,96.4,96.2,96.5,96.6,96.7,96.7,96.7,97.1,97.3,97.2,97.2,97.4,97.4,97.5,97.9,97.9,98.4,98.6,98.6,99,99,99.1,99.1,99.1,99.1,99,99,99.1,99.1,99.1,99,98.9,98.9,99,99,99.1,99.1,99.1,99.3,99.3,99.3,99.3,99.4,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.6,99.6,99.6,99.6,99.6,99.5,99.5,99.7,100,100,100,100,99.9,99.9,99.8,99.9,99.9,100.1,99.9,100
Atlantic Region,House only,82.5,82.7,83.9,84.2,85.1,85.6,86.1,86.9,87.8,88.3,89.5,89.9,89.9,90.2,91.7,91.8,92.4,92.5,92.7,92.6,92.7,92.6,92.5,92.1,92.3,92.3,92.8,93,93.6,93.6,93.6,94.1,94.4,94.7,94.7,94.7,94.7,94.7,96.1,96.2,96.2,96.3,96.4,96.3,96.2,96.3,96.4,96.4,96.6,96.6,96.6,96.6,96.4,96.7,96.9,96.9,97,96.9,97.4,97.6,97.5,97.5,97.6,97.6,97.8,98.1,98.2,98.7,98.9,98.9,99.3,99.2,99.3,99.3,99.3,99.2,99.2,99.1,99.3,99.3,99.2,99.1,99,99,99.1,99.1,99.2,99.2,99.2,99.3,99.4,99.4,99.3,99.4,99.5,99.5,99.5,99.5,99.4,99.5,99.5,99.6,99.5,99.5,99.5,99.5,99.4,99.4,99.7,99.9,100,100,99.9,99.9,99.8,99.7,99.9,99.8,100.2,99.9,100
Atlantic Region,Land only,73.5,73.8,74.9,75.3,75.9,76.9,77,78.2,80.2,83,84.1,84.2,84.1,84.1,84.1,84.1,84.8,85,85,85.7,85.7,86.7,86.8,89.7,89.7,89.7,89.7,89.7,90.4,90.4,90.4,90.4,90.6,91.1,91.1,91.1,91.1,91.1,95,95,95.1,95.2,95.2,95.2,95.2,95.2,95.3,95.6,95.6,95.6,95.6,95.6,95.6,95.6,95.7,95.8,95.9,96.1,96.2,96.3,96.4,96.4,96.5,96.5,96.6,96.8,96.8,97.1,97.4,97.4,98,98.4,98.4,98.4,98.5,98.5,98.5,98.4,98.5,98.5,98.6,98.6,98.6,98.6,98.7,98.7,98.8,98.8,98.8,99.1,99.1,99.1,99.3,99.3,99.4,99.4,99.4,99.4,99.6,99.6,99.6,99.7,99.7,99.7,99.8,99.8,99.8,99.8,100,100,100,100,100,100,100,100,100,100,99.9,99.9,99.9
Newfoundland and Labrador,Total (house and land),67.3,67.9,68.3,69.2,69.9,72,72.1,74.6,77.4,79.6,82,82.6,82.6,83,85.9,86,86.8,86.7,87.1,87.3,87.3,87.7,87.7,88.7,88.7,88.7,89.3,89.9,91.5,91.5,91.5,92.5,92.7,93,93,93,93,93,97,97,97.2,97.2,97.2,97.1,97,97,96.9,96.9,96.9,96.9,96.9,96.9,96.5,96.5,96.8,96.8,97,97.1,97.7,97.7,97.5,97.5,97.5,97.5,97.7,97.7,97.7,98.6,98.8,98.8,99.4,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.9,99.9,99.8,99.7,99.7,99.7,99.7,99.7,99.9,99.9,99.9,99.9,99.9,99.9,99.8,99.8,100.1,100.1,100.1,100.1,100.3,100.3,100.3,100.3,100.2,100.2,100.3,100.3,100,99.8,100,100,100,100,99.6,99.6,99.5,99.5,99.5,99.4,99.4,98.9,98.9
Newfoundland and Labrador,House only,70.6,71.1,71.8,72.6,73.5,75.4,75.6,77.9,80.6,81.9,84.5,85.3,85.3,85.9,89.8,90.1,90.7,90.6,91.1,91,91,90.7,90.7,89.6,89.6,89.6,90.5,91.4,92.9,92.9,92.9,94.2,94.5,94.8,94.8,94.8,94.8,94.8,97.8,97.8,97.9,97.9,97.9,97.9,97.7,97.7,97.5,97.5,97.5,97.5,97.5,97.5,97,97,97.5,97.4,97.6,97.6,98.3,98.4,98.1,98.1,98.1,98.1,98.3,98.2,98.2,99.5,99.5,99.5,100,100,100,100,100,100,100,100,100.3,100.3,100.1,100,100,100,100,100,100.2,100.2,100.2,100.2,100.2,100.2,99.9,99.9,100.2,100.2,100.2,100.2,100.4,100.4,100.4,100.4,100.2,100.2,100.2,100.2,99.8,99.7,100.1,100.1,100,100,99.5,99.5,99.3,99.2,99.2,99.1,99.3,98.6,98.6
Newfoundland and Labrador,Land only,59.8,60.3,60.3,61.3,61.6,63.8,63.8,66.2,69.1,74,75.6,75.9,75.9,75.9,75.9,75.9,76.9,76.9,76.9,78.2,78.2,80.4,80.4,86.1,86.1,86.1,86.1,86.1,87.4,87.4,87.4,87.4,87.5,87.9,87.9,87.9,87.9,87.9,94.6,94.6,94.7,94.7,94.7,94.7,94.7,94.7,94.7,94.7,94.7,94.7,94.7,94.7,94.7,94.7,94.8,94.8,95,95.3,95.6,95.6,95.6,95.6,95.6,95.6,95.7,95.7,95.7,96.1,96.6,96.6,97.6,98.3,98.3,98.3,98.5,98.5,98.5,98.3,98.5,98.5,98.6,98.6,98.6,98.6,98.6,98.6,98.9,98.9,98.9,98.9,98.9,98.9,99.2,99.2,99.4,99.4,99.4,99.4,99.7,99.7,99.7,99.9,99.9,99.9,100.1,100.1,100.1,100,100,100,100,100,100,100,100,100,100,100,99.8,99.8,99.8
Prince Edward Island,Total (house and land),97.6,97.6,98.4,98.4,99.7,99.7,98.6,98.6,98.6,98.9,98.9,98.5,98.5,98.6,98.6,98.6,98.8,99.9,99.5,99.5,100,100,100,100.1,100.1,99.5,99.5,99.5,99.3,98.8,98.4,98.1,98.4,98.1,97.9,97.9,97.9,97.9,97.5,97.5,97.5,98.9,98.9,99.1,99.6,99.6,100.8,100.8,100.7,100.9,100.9,100.9,100.7,100.2,100.2,100.3,99.9,100,100.2,100.1,100.2,100,100,99.2,100.1,100.1,100.1,100.5,100.6,100.8,100.9,100.9,100.9,100.8,100.8,100.8,100.5,100.2,99.7,99.7,99.6,99.4,99.3,99.3,99.1,99.1,98.8,99.3,99.3,99.3,99.5,100.5,100.4,100.1,100.1,100,99,99,99.1,99.1,99.1,100.3,100.3,100.4,100,100,100,100,100,100,100,100,100,100,100,100,99.8,99.7,100.3,100.3,100.3
